Name,License number,Address,Start of validity,End of validity,latitude,longitude,scrape_status,maps_place,maps_url
"""MA-MA-LA"" Bt.",DKE1700000071,"1031 Budapest, Nánási út 24/A.",2024.05.24,2033.06.30,47.5716236,19.0614638,ok,"Budapest, Nánási út 24a, 1031 Hungary","https://www.google.com/maps/place/Budapest,+N%C3%A1n%C3%A1si+%C3%BAt+24a,+1031+Hungary/@47.5716236,19.0614638,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d98efbc979f5:0x9e7ba33d56ff6849!8m2!3d47.5716236!4d19.0614638!16s%2Fg%2F11j6zkyp50?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
"""PAUL"" Kiskereskedelmi Bt.",DKE1600000043,1071 Budapest 07. ker. Rottenbiller utca 49.,2013.07.01,2033.06.30,47.5068268,19.0728332,ok,"Budapest, Rottenbiller u. 49, 1071 Hungary","https://www.google.com/maps/place/Budapest,+Rottenbiller+u.+49,+1071+Hungary/@47.5068268,19.0728332,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc7a962f6f19:0x3c44906c92b56745!8m2!3d47.5068268!4d19.0728332!16s%2Fg%2F11j8x2nw1g?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
"""REMYVERA"" kereskedelmi és Szolgáltató Bt.",DKE1600000034,1157 Budapest 15. ker. Zsókavár utca 43-47 fszt,2013.07.01,2033.06.30,47.5403101,19.1437252,ok,"Budapest, Zsókavár u. 43, 1157 Hungary","https://www.google.com/maps/place/Budapest,+Zs%C3%B3kav%C3%A1r+u.+43,+1157+Hungary/@47.5403101,19.1437252,17z/data=!3m1!4b1!4m6!3m5!1s0x4741db217343f613:0x57d3d8b336e6ccd2!8m2!3d47.5403101!4d19.1437252!16s%2Fg%2F11jn4f0msn?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
1x1x1 Bt.,DKE1010000313,1113 Budapest 11. ker. Villányi út 6.,2013.07.01,2033.06.30,47.477878,19.0451389,ok,"Budapest, Villányi út 6, 1114 Hungary","https://www.google.com/maps/place/Budapest,+Vill%C3%A1nyi+%C3%BAt+6,+1114+Hungary/@47.477878,19.0451389,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dd1186e72641:0xf8211b89ea187209!8m2!3d47.477878!4d19.0451389!16s%2Fg%2F11lv8f91_c?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
1x1x1 Bt.,DKE1010000314,1115 Budapest 11. ker. Etele tér gyalogos aluljáró 128/20,2013.07.01,2033.06.30,,,no_place,,"https://www.google.com/maps/search/1115+Budapest+11.+ker.+Etele+t%C3%A9r+gyalogos+alulj%C3%A1r%C3%B3+128%2F20/@47.46223,19.0268808,15z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
2Bacco Bt.,DKE1700000172,"1028 Budapest, Hidegkúti út 76/A.",2023.04.26,2033.06.30,47.5521699,18.964531,ok,"Budapest, Hidegkúti út 76a, 1028 Hungary","https://www.google.com/maps/place/Budapest,+Hidegk%C3%BAti+%C3%BAt+76a,+1028+Hungary/@47.5521699,18.964531,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d8be589139c5:0x28024aa560371be!8m2!3d47.5521699!4d18.964531!16s%2Fg%2F11jxbdjn85?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Abullding Pipa Bt,Dke1010000207,1211 Budapest 21. ker. Karácsony Sándor utca 10/A.,2013.07.01,2033.06.30,47.4269958,19.0688668,ok,"Budapest, Karácsony Sándor u. 10/A, 1211 Hungary","https://www.google.com/maps/place/Budapest,+Kar%C3%A1csony+S%C3%A1ndor+u.+10%2FA,+1211+Hungary/@47.4269958,19.0688668,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e7f184e40551:0xb965e440266c6aa!8m2!3d47.4269958!4d19.0688668!16s%2Fg%2F11fwhmkqz3?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Abullding Pipa Bt,DKE1010000269,1214 Budapest 21. ker. II. Rákóczi Ferenc utca 142.,2013.07.01,2033.06.30,47.4264567,19.0676149,ok,"Budapest, II. Rákóczi Ferenc út 142, 1211 Hungary","https://www.google.com/maps/place/Budapest,+II.+R%C3%A1k%C3%B3czi+Ferenc+%C3%BAt+142,+1211+Hungary/@47.4264567,19.0676149,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e7f21feddefb:0x128ff7f27afdf89!8m2!3d47.4264567!4d19.0676149!16s%2Fg%2F11c23j0kgn?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Abullding Pipa Bt,DKE1010000289,1211 Budapest 21. ker. II. Rákóczi F. utca 154-170 (Csepel Pláza),2013.07.01,2033.06.30,47.4236491,19.0678414,ok,Csepel Plaza,"https://www.google.com/maps/place/Csepel+Plaza/@47.4236491,19.0678414,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e517e18e2497:0xb9c88642137c4d12!8m2!3d47.4236491!4d19.0678414!16s%2Fg%2F1pp2vb9r5?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Abullding Pipa Bt,DKE1010000297,1213 Budapest 21. ker. Szent László utca 115.,2013.07.01,2033.06.30,47.4073701,19.0792861,ok,"Budapest, Szent László u. 115, 1213 Hungary","https://www.google.com/maps/place/Budapest,+Szent+L%C3%A1szl%C3%B3+u.+115,+1213+Hungary/@47.4073701,19.0792861,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e876705bc8c1:0x69be490ee4a338d6!8m2!3d47.4073701!4d19.0792861!16s%2Fg%2F11gr7sw4m8?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Abullding Pipa Bt.,DKE1010000210,"1212 Budapest, Szent István út 73.",2023.05.12,2033.06.30,47.4163332,19.0782719,ok,"Budapest, Szent István út 73, 1212 Hungary","https://www.google.com/maps/place/Budapest,+Szent+Istv%C3%A1n+%C3%BAt+73,+1212+Hungary/@47.4163332,19.0782719,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e7e10ffd3bfb:0x885360bd021d786!8m2!3d47.4163332!4d19.0782719!16s%2Fg%2F11nnkt3d5c?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Abundantia Damavand Cigars Dohánytermékek Kereskedelmi Bt.,DKE1700000206,1025 Budapest 02. ker. Törökvész út 87-91.,2013.07.01,2033.06.30,47.5291012,19.005216,ok,"Budapest, Törökvész út 87-91, 1025 Hungary","https://www.google.com/maps/place/Budapest,+T%C3%B6r%C3%B6kv%C3%A9sz+%C3%BAt+87-91,+1025+Hungary/@47.5290817,19.0052784,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d9349d796ab9:0x577664f4e6ecc961!8m2!3d47.5291012!4d19.005216!16s%2Fg%2F11c3q3wrg6?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
AC TRAFIK Bt.,DKE1010000053,"1094 Budapest, Tűzoltó utca 78-80.",2025.01.09,2033.06.30,47.479602,19.0817537,ok,"Budapest, Tűzoltó u. 78-80, 1094 Hungary","https://www.google.com/maps/place/Budapest,+T%C5%B1zolt%C3%B3+u.+78-80,+1094+Hungary/@47.479602,19.0817537,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dcfb492b5b9d:0x524095c325b44a22!8m2!3d47.479602!4d19.0817537!16s%2Fg%2F11pw2vf0g3?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
AC TRAFIK Bt.,DKE1600000090,"1074 Budapest, Dohány utca 47.",2025.01.09,2033.06.30,47.4978295,19.0695626,ok,"Budapest, Dohány u. 47, 1074 Hungary","https://www.google.com/maps/place/Budapest,+Doh%C3%A1ny+u.+47,+1074+Hungary/@47.4978295,19.0695626,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc670f76b1cd:0xb8e3911880ff208c!8m2!3d47.4978295!4d19.0695626!16s%2Fg%2F11xzy00zqv?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
AC TRAFIK Bt.,DKE1600000124,"1061 Budapest, Jókai tér 8.",2025.01.09,2033.06.30,47.5056246,19.0616758,ok,"Budapest, Jókai tér 8, 1061 Hungary","https://www.google.com/maps/place/Budapest,+J%C3%B3kai+t%C3%A9r+8,+1061+Hungary/@47.5056246,19.0616758,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc6dc7cf4865:0x9bea9f2a0c9c33d1!8m2!3d47.5056246!4d19.0616758!16s%2Fg%2F11rg61lxr2?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
AC TRAFIK Bt.,DKE1700000045,"1032 Budapest, Bécsi út 88-90.",2025.01.09,2033.06.30,47.532114,19.0362495,ok,"Budapest, Bécsi út 88-90, 1034 Hungary","https://www.google.com/maps/place/Budapest,+B%C3%A9csi+%C3%BAt+88-90,+1034+Hungary/@47.532114,19.0362495,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d95a0923b071:0xa9fc41bc7eed6384!8m2!3d47.532114!4d19.0362495!16s%2Fg%2F11s1bn_qsn?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
