Name,License Number,Address,Start of Validity,End of Validity,Latitude,Longitude
"""MA-MA-LA"" Bt.",DKE1700000071,"1031 Budapest, Nánási út 24/A.",2024.05.24,2033.06.30,47.5715233,19.0617988
"""PAUL"" Kiskereskedelmi Bt.",DKE1600000043,1071 Budapest 07. ker. Rottenbiller utca 49.,2013.07.01,2033.06.30,47.5067038,19.0727291
"""REMYVERA"" kereskedelmi és Szolgáltató Bt.",DKE1600000034,1157 Budapest 15. ker. Zsókavár utca 43-47 fszt,2013.07.01,2033.06.30,47.5401922,19.1435985
1x1x1 Bt.,DKE1010000313,1113 Budapest 11. ker. Villányi út 6.,2013.07.01,2033.06.30,47.4777105,19.045125
1x1x1 Bt.,DKE1010000314,1115 Budapest 11. ker. Etele tér gyalogos aluljáró 128/20,2013.07.01,2033.06.30,,
2Bacco Bt.,DKE1700000172,"1028 Budapest, Hidegkúti út 76/A.",2023.04.26,2033.06.30,47.5520978,18.9643138
Abullding Pipa Bt,Dke1010000207,1211 Budapest 21. ker. Karácsony Sándor utca 10/A.,2013.07.01,2033.06.30,47.4272208,19.0688639
Abullding Pipa Bt,DKE1010000269,1214 Budapest 21. ker. II. Rákóczi Ferenc utca 142.,2013.07.01,2033.06.30,47.4603647,19.2325286
Abullding Pipa Bt,DKE1010000289,1211 Budapest 21. ker. II. Rákóczi F. utca 154-170 (Csepel Pláza),2013.07.01,2033.06.30,,
Abullding Pipa Bt,DKE1010000297,1213 Budapest 21. ker. Szent László utca 115.,2013.07.01,2033.06.30,47.4071628,19.0795081
Abullding Pipa Bt.,DKE1010000210,"1212 Budapest, Szent István út 73.",2023.05.12,2033.06.30,47.416282,19.0781904
Abundantia Damavand Cigars Dohánytermékek Kereskedelmi Bt.,DKE1700000206,1025 Budapest 02. ker. Törökvész út 87-91.,2013.07.01,2033.06.30,47.5290176,19.005443
AC TRAFIK Bt.,DKE1010000053,"1094 Budapest, Tűzoltó utca 78-80.",2025.01.09,2033.06.30,47.4795967,19.0816106
AC TRAFIK Bt.,DKE1600000090,"1074 Budapest, Dohány utca 47.",2025.01.09,2033.06.30,47.4980154,19.0693919
AC TRAFIK Bt.,DKE1600000124,"1061 Budapest, Jókai tér 8.",2025.01.09,2033.06.30,47.5054724,19.0614947
AC TRAFIK Bt.,DKE1700000045,"1032 Budapest, Bécsi út 88-90.",2025.01.09,2033.06.30,47.5326132,19.0359307
AC TRAFIK Bt.,DKE1700000046,"1137 Budapest, Radnóti Miklós utca 38.",2025.01.09,2033.06.30,47.5161735,19.0497079
AG TRAFIK Bt.,DKE1600000047,"1065 Budapest, Podmaniczky utca 2.",2022.01.24,2033.06.30,47.5073144,19.05548
AG TRAFIK Bt.,DKE1600000054,"1156 Budapest, Páskomliget utca 49.",2022.01.24,2033.06.30,47.5474377,19.1354275
AG TRAFIK Bt.,DKE1600000087,"1086 Budapest, Diószeghy Sámuel utca 15.",2022.01.24,2033.06.30,47.4875463,19.0884333
AG TRAFIK Bt.,DKE1700000041,"1044 Budapest, Megyeri út 12. fszt. 9.",2022.01.24,2033.06.30,47.5797587,19.0879709
AG TRAFIK Bt.,DKE1700000044,"1133 Budapest, Gogol utca 23.",2022.01.24,2033.06.30,47.519899,19.0594288
Albert Kinga,DKE1010000178,"1119 Budapest,
 Etele 65. fszt. 4.",2019.01.25,2033.06.30,47.4638836,19.0309425
Alfa Trafik Bt.,DKE1600000155,"1101 Budapest, Hungária körút 5-7.",2023.02.17,2033.06.30,47.4909071,19.1095101
Alfa Trafik Bt.,DKE1700000127,"1042 Budapest, Rózsa utca 12.",2023.02.17,2033.06.30,47.5566193,19.1001477
Alfa Trafik Bt.,DKE1700000167,"1134 Budapest, Róbert Károly körút 38.",2023.02.17,2033.06.30,47.5311573,19.0695525
Almásháza ABC Kereskedelmi és Szolgáltató Bt.,DKE1600000024,1172 Budapest 17. ker. Almásháza utca 2.,2013.07.01,2033.06.30,47.4990909,19.2696063
Ambrus Ágnes Réka,DKE1600000009,1173 Budapest 17. ker. Borsó utca 64/B.,2013.07.01,2033.06.30,47.4797,19.2328
Andaro Bt,DKE1010000169,1118 Budapest 11. ker. Torbágy utca 7/A.,2013.07.01,2033.06.30,47.4707218,18.9983385
Annamari Trafik Bt.,DKE1010000217,"1196 Budapest, Nádasdy utca 115.",2026.01.26,2033.06.30,47.4432391,19.1394613
Annamari Trafik Bt.,DKE1010000223,"1195 Budapest, Batthyány utca 3.",2026.01.26,2033.06.30,47.4555859,19.1470656
Annamari Trafik Bt.,DKE1600000199,"1147 Budapest, Csömöri utca Bosnyák téri vásárcsarnok 9-11.",2026.01.26,2033.06.30,,
